"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"372102534803906560","","","","","2013-08-26 21:05:32 +0000","web","Today's prescription: heavy decompression"
"370261008352165888","","268597102","","","2013-08-21 19:07:58 +0000","web","@dbproductionLtd http://t.co/qinVBcppAt I seem to be in the right career path.","http://en.ilovecoffee.jp/posts/view/23"
"367910507782492161","","","","","2013-08-15 07:27:55 +0000","web","Wish people had energy at night like me"
"367790895342845952","367790066925834240","268597102","","","2013-08-14 23:32:37 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dbproductionLtd which of the remixes do you prefer?"
"367789697294434304","","268597102","","","2013-08-14 23:27:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dbproductionLtd hey send me a link to the @BT song you are referring to"
"365961942768173057","","268597102","","","2013-08-09 22:25:01 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dbproductionLtd I wonder what you are referring to."
"359073843513528320","","","","","2013-07-21 22:14:10 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","At the circus everyday it is someone's birthday. So it is basically one perpetual birthday party out here"
"354593788141907969","","268597102","","","2013-07-09 13:32:01 +0000","web","@dbproductionLtd I don't like that idea. I think the clutter to be some of the best and most interesting things out there"
"353409798001278979","","","","","2013-07-06 07:07:16 +0000","web","I love the art of figuring things out"
"353398210502471684","","","","","2013-07-06 06:21:13 +0000","web","Visa application submitted England lets do this!"
"351847180459458560","","459644738","","","2013-07-01 23:37:59 +0000","web","@slam_daddy why don't you call them?"
"350887344418721792","","","","","2013-06-29 08:03:56 +0000","web","And that one time I was at the circus and I met that guy from the french foreign legion"
"350450309115543552","","10787822","","","2013-06-28 03:07:19 +0000","web","@anniedineen after a run it might be the best thing since sliced bread"
"350450179717079040","","","","","2013-06-28 03:06:48 +0000","web","Bathing in internet after Mexico is the best relapse ever!"
"350425269175193601","","","","","2013-06-28 01:27:49 +0000","web","Shower beer"
"341278437249527808","","","","","2013-06-02 19:41:34 +0000","web","OMG, I just made $340 today. This is how, try it. http://t.co/GhmfzXcptY","http://bitly.com/14lv8sT?uhym"
"332855136600854528","","","","","2013-05-10 13:50:23 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Good memories @WrestleCrow @_velosaraptor @_Rosilly http://t.co/AWGgPWKgUL","http://twitter.com/PintoBeanDip/status/332855136600854528/photo/1"
"328305067105067008","","","","","2013-04-28 00:30:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thank god I studied physics"
"326514398195757059","","","","","2013-04-23 01:54:33 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Drinking jug wine on the train to West Virginia listening to zemixx. Seems appropriate. #imonatrain"
"317996457733005312","","","","","2013-03-30 13:47:18 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">Camera on iOS</a>","Fresh pots http://t.co/p5bzDJUzOj","http://twitter.com/PintoBeanDip/status/317996457733005312/photo/1"
"314806727361064960","","10787822","","","2013-03-21 18:32:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@anniedineen about to drive it today"
"314806599975858176","","459644738","","","2013-03-21 18:31:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@_velosaraptor Jesus Christ"
"312340753374384128","","","","","2013-03-14 23:13:33 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Life's so good right now"
"311018232205168640","","","","","2013-03-11 07:38:19 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Adult bad decisions"
"310818184179617792","","","","","2013-03-10 18:23:24 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","And on that fine day not a single fuck was given"
"310229603065139200","","459644738","","","2013-03-09 03:24:35 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@_velosaraptor I am going gray as well. It happens to the best of us. Could be a vitamin B12 deficiency"
"310090410557050880","","","","","2013-03-08 18:11:29 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">Camera on iOS</a>","Brew pub on the campus of University of SC http://t.co/fWf6aErZWT","http://twitter.com/PintoBeanDip/status/310090410557050880/photo/1"
"309546898761601024","309399789018177536","268597102","","","2013-03-07 06:11:46 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dbproductionLtd fuck yea. Once a get a reliable Internet connection going here ill let you know"
"309546467943657472","","","","","2013-03-07 06:10:03 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">Camera on iOS</a>","Fresh pots at 1am. Getting ready for load in http://t.co/1rHmmdCnbo","http://twitter.com/PintoBeanDip/status/309546467943657472/photo/1"
"309395431010484224","","268597102","","","2013-03-06 20:09:53 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dbproductionLtd already have it"
"309018599039832066","","","","","2013-03-05 19:12:29 +0000","web","Load in starts at 1am tomorrow night. FML"
"308687167335591937","","","","","2013-03-04 21:15:30 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Circus commandment #1. Thou shall bring beer on train runs."
"307970407204528128","","","307967821269307392","268597102","2013-03-02 21:47:21 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @dbproductionLtd: I found my life motto in a Jersey coffee shop: http://t.co/01S4ajekNJ","http://twitter.com/dbproductionLtd/status/307967821269307392/photo/1"
"307003095936806913","","459644738","","","2013-02-28 05:43:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@_velosaraptor you got a problem?"
"306988054621593600","","","","","2013-02-28 04:43:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shower beer"
"306919203661807616","","","","","2013-02-28 00:10:15 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">Camera on iOS</a>","The new office http://t.co/dAvLslvqhW","http://twitter.com/PintoBeanDip/status/306919203661807616/photo/1"
"305300920219090944","","","","","2013-02-23 12:59:46 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","My stage manager's name is Boris and yes he is from Russia"
"302622951101042688","","","","","2013-02-16 03:38:28 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nothing feels better than your last hours at your shitty job. What should my going away gift be?"
"302133607617662976","","268597102","","","2013-02-14 19:14:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dbproductionLtd it was actually a cup a noodles and some gummy worms"
"302133312623898624","","","","","2013-02-14 19:12:49 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This Mexican coffee has got to be the best thing since sliced bread"
"301886529490542592","","","","","2013-02-14 02:52:12 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","7 eleven twice in one night is not a good look"
"300762708930883584","","","","","2013-02-11 00:26:32 +0000","web","My weekends have turned into workends"
"299036877929996288","","","","","2013-02-06 06:08:42 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jameson over runplemintz"
"299029139929845760","","","","","2013-02-06 05:37:57 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The tune inn with the best waitress in the world steph http://t.co/wKggUO79","http://twitter.com/PintoBeanDip/status/299029139929845760/photo/1"
"299027736066928640","298981848468578305","123386864","","","2013-02-06 05:32:22 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@shellboyp yo you using them at least?"
"299027605800222720","298979893243420673","268597102","","","2013-02-06 05:31:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dbproductionLtd for sure"
"298969504204075008","","","","","2013-02-06 01:40:59 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","And on that fine day not a single fuck was given"
"298969389837991936","","","","","2013-02-06 01:40:31 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Just quit both my jobs. Super satisfying."
